ProductKey,OrderDateKey,DueDateKey,ShipDateKey,CustomerKey,PromotionKey,CurrencyKey,SalesTerritoryKey,SalesOrderNumber,SalesOrderLineNumber,RevisionNumber,OrderQuantity,UnitPrice,ExtendedAmount,UnitPriceDiscountPct,DiscountAmount,ProductStandardCost,TotalProductCost,SalesAmount,TaxAmt,Freight,CarrierTrackingNumber,CustomerPONumber
228,20030706,20030718,20030713,11264,1,100,1,SO51265,3,1,1,49.99,49.99,0,0,38.4923,38.4923,49.99,3.9992,1.2498,null,null
475,20030714,20030726,20030721,13849,1,100,1,SO51396,2,1,1,69.99,69.99,0,0,26.1763,26.1763,69.99,5.5992,1.7498,null,null
228,20030714,20030726,20030721,28667,1,100,1,SO51401,2,1,1,49.99,49.99,0,0,38.4923,38.4923,49.99,3.9992,1.2498,null,null
228,20030718,20030730,20030725,16803,1,100,1,SO51458,2,1,1,49.99,49.99,0,0,38.4923,38.4923,49.99,3.9992,1.2498,null,null
594,20030720,20030801,20030727,17098,1,98,10,SO51481,1,1,1,564.99,564.99,0,0,308.2179,308.2179,564.99,45.1992,14.1248,null,null
228,20030728,20030809,20030804,14927,1,100,8,SO51622,3,1,1,49.99,49.99,0,0,38.4923,38.4923,49.99,3.9992,1.2498,null,null
594,20030729,20030810,20030805,15552,1,100,1,SO51645,1,1,1,564.99,564.99,0,0,308.2179,308.2179,564.99,45.1992,14.1248,null,null
228,20030801,20030813,20030808,14870,1,100,4,SO51900,3,1,1,49.99,49.99,0,0,38.4923,38.4923,49.99,3.9992,1.2498,null,null
228,20030803,20030815,20030810,17074,1,6,9,SO51976,2,1,1,49.99,49.99,0,0,38.4923,38.4923,49.99,3.9992,1.2498,null,null
475,20030803,20030815,20030810,18987,1,100,1,SO51992,1,1,1,69.99,69.99,0,0,26.1763,26.1763,69.99,5.5992,1.7498,null,null
228,20030804,20030816,20030811,12806,1,100,8,SO52021,3,1,1,49.99,49.99,0,0,38.4923,38.4923,49.99,3.9992,1.2498,null,null
475,20030804,20030816,20030811,16848,1,19,6,SO52040,1,1,1,69.99,69.99,0,0,26.1763,26.1763,69.99,5.5992,1.7498,null,null
